UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
40,M39,L,299.43074899149264,310.3651606324752,1456.9861472367984,44.48459061892632,134,0,No Failure
41,M40,L,296.05582194671234,310.8248840377288,1303.9442129407898,42.24189703828016,169,0,No Failure
42,M41,L,300.57605673661095,309.1269474403228,1497.9275515917998,29.308020064381004,117,0,No Failure
43,M42,L,297.1121489058525,309.5085895833104,1521.1944556519136,36.792021385139556,59,0,No Failure
44,M43,H,300.889707075115,311.34648059555605,1483.593986544718,20.959072075843373,89,0,No Failure
45,M44,L,300.8231314383286,311.55974194728395,1756.1311121764522,40.86026634598958,147,0,No Failure
46,M45,M,298.11719366199594,308.8529344002809,1661.0603961448078,53.3012776730114,190,0,No Failure
47,M46,L,302.24193404722877,310.2497360678638,1213.811802275658,22.04384862531525,236,0,No Failure
48,M47,L,301.61114940561237,309.56905619951476,1806.873402839657,41.28628069811476,123,0,No Failure
49,M48,L,301.95164667457715,309.30296853063516,951.7165878341655,46.68478533794523,124,0,No Failure
50,M49,L,300.0177154073378,310.28483969535546,1930.2048745704994,48.163569837244665,110,0,No Failure
51,M50,H,297.16895186617256,311.1409629323654,1442.5388972886246,32.53810239179121,20,0,No Failure
52,M51,M,301.95574454442226,310.4516624732842,1462.0864526697,28.977692703349962,126,0,No Failure
53,M52,H,299.4592572017284,309.68048755008095,1487.996752205272,34.12948034877466,132,0,No Failure
54,M53,M,297.22043971361467,310.51486117993517,1577.041086568036,51.90871029959452,120,0,No Failure
55,M54,L,302.70407873194864,309.6400238264191,1499.9473597466315,22.904443546760366,29,0,No Failure
56,M55,H,304.198815041005,310.4121143007306,1473.3209622325467,27.840330049481892,62,0,No Failure
57,M56,L,299.9175037420416,311.39646570045574,1761.7836618712372,35.41230515474218,239,0,No Failure
58,M57,L,304.3182423092066,307.92284034069917,1613.11921595017,30.243287820878635,186,0,No Failure
59,M58,L,300.1826294572227,310.79725229854006,1308.2392291258477,39.583272645859616,37,0,No Failure
60,M59,L,299.2390881916673,308.4609450784295,1648.1347828671448,54.14525939428754,163,1,No Failure
61,M60,L,298.739083091629,311.2283277105445,1604.821400636668,27.961815531917566,37,0,No Failure
62,M61,L,303.2741648159855,309.36297439012714,1390.9452548837562,38.536338235022335,22,0,No Failure
63,M62,M,298.43971223722446,308.7823286223935,1658.4276852724322,39.91749030599524,150,0,No Failure
64,M63,L,301.47053861995,310.6952692270888,1468.4854797553921,36.65413751432039,57,0,No Failure
65,M64,L,298.8816723298816,310.3641700631424,1455.6653055749798,24.215750239187784,175,0,No Failure
66,M65,L,299.0793864748513,309.00081309703836,1450.2173765134132,33.6217447782311,242,0,No Failure
67,M66,L,302.06049938793916,308.74700024283163,1014.3763886095202,33.65163648450204,133,0,No Failure
68,M67,M,299.2399263074213,309.81251851250875,1394.6601334130796,46.33503955637578,106,0,No Failure
69,M68,L,299.1904092411594,308.7959130498288,1642.6346484251203,44.19579297698505,173,0,No Failure
70,M69,H,302.2656093943496,308.93852702707636,1495.5177514192474,24.481042504692024,86,0,No Failure
71,M70,M,303.19479458644327,310.1156207904214,1242.96271402885,36.12863641983221,142,0,No Failure
72,M71,L,301.28937960656845,309.0341283657449,1692.9262510384074,34.997447918162436,0,0,No Failure
73,M72,L,298.6904604487521,310.42653929002654,1440.2799680913208,59.54695283717247,99,0,No Failure
74,M73,M,298.97878300140485,311.49014359588347,1255.6849018676953,42.923131803016226,230,0,No Failure
75,M74,M,300.1598305274801,309.85144458509944,1941.202492334203,29.22561580969465,91,0,No Failure
76,M75,M,300.6418601238513,310.1301510619856,1289.365481102449,32.23202077398349,201,0,No Failure
77,M76,M,298.0242681797205,312.0180967328355,1675.898302257142,36.214546008046106,32,0,No Failure
78,M77,L,301.4460758791597,308.81239888262263,1346.137179829079,43.62367575391542,109,0,No Failure
79,M78,L,300.1710266592792,311.19123519518075,1527.1653669147643,44.84920946162238,151,0,No Failure
80,M79,L,296.56858336272376,311.0708575979125,1319.563807326365,42.004826426914455,69,0,No Failure
81,M80,M,298.14214703507855,310.8543173391738,1252.1391637452682,37.902347543637354,141,0,No Failure
82,M81,M,298.9917426526967,311.29174785073263,1604.4405089342818,38.63999675809658,245,0,No Failure
83,M82,L,299.8542846223179,310.28057496595864,1581.0581090268802,38.71030773585882,95,0,No Failure
84,M83,L,303.778557591008,309.4170705044007,1728.929888843813,22.17090102714114,82,0,No Failure
85,M84,L,300.47634261227927,311.09457329122057,1493.1236139408275,39.3870837835632,197,0,No Failure
86,M85,L,298.31845622020273,311.1328422117129,1944.0703588252984,34.22745944205627,83,0,No Failure
87,M86,M,300.44126160861435,311.1053139014933,1553.6693334874071,23.47169779215269,216,0,No Failure
88,M87,M,299.29582450509224,310.04450208231924,1613.3549362474425,64.17882578036485,124,0,No Failure
89,M88,M,300.6495164790671,309.28380548638665,1228.3141509785544,43.11303605987119,83,0,No Failure
90,M89,L,301.16113537407125,310.1913622541116,1377.1831369754939,40.13103258278297,165,0,No Failure
91,M90,L,302.41846129444787,310.94223001756785,1603.9359401031954,36.288720094042105,138,0,No Failure
92,M91,M,299.95142700865995,311.02435178985996,1483.1544475172834,47.30222458648686,190,0,No Failure
93,M92,M,303.27792105519967,309.5703238729254,1537.5366270069271,28.376997407929856,159,0,No Failure
94,M93,L,301.81604532507237,310.31537289612737,1336.7012488571613,36.872957080571865,156,0,No Failure
95,M94,M,298.5851209103756,308.69122169551406,1524.3893946943242,30.47829117325926,29,0,No Failure
96,M95,L,304.41971133149696,310.9849501030059,1523.7091783183473,47.215628536713524,156,0,No Failure
97,M96,L,300.6539890265402,309.2166912432749,1263.9129960229523,31.73258854147346,85,0,No Failure
98,M97,L,298.32975099205555,310.7852553595715,1628.5099689361182,51.01327811633698,138,0,No Failure
99,M98,L,303.30582610246086,308.8506954226098,1159.9870106164062,39.007246123962105,176,0,No Failure
100,M99,L,304.1555551703969,311.031415906434,1536.8476161195367,47.744900968270564,211,0,No Failure
101,M100,L,299.93394947256087,310.3218351900228,1853.1185387651,43.998588843708745,104,0,No Failure
102,M101,M,298.9926994792488,309.2186423043831,1636.1101075638164,50.59244833995519,77,0,No Failure
103,M102,L,299.6552500850927,310.69135638108054,1634.859849207421,30.648234039714765,218,0,No Failure
104,M103,L,301.4294634550354,309.40963830819464,1320.5146650102631,49.05623184946641,191,0,No Failure
105,M104,H,302.55571331006104,310.74955503744513,1853.8124106305722,21.374113467707364,121,0,No Failure
106,M105,L,301.14097466172717,309.7258885246193,1775.3436189204576,40.43126762113686,165,0,No Failure
107,M106,L,300.20344641694356,308.27895287437036,1331.2819954208867,34.54078067696985,187,0,No Failure
108,M107,M,302.99602354060886,309.0175837595191,1405.0473516370246,25.95458616004963,195,0,No Failure
109,M108,L,299.37432705389693,309.5695852913127,1750.9312089853377,31.064778750066594,134,0,No Failure
110,M109,L,302.0618386767338,311.3681890237486,1859.2294756633514,33.593442737206665,93,0,No Failure
111,M110,L,299.4238744032974,310.90114363052925,1247.0627929819423,38.03448317896134,73,0,No Failure
112,M111,L,300.86204591602177,311.6238614123221,1299.2578460550847,34.751503481508074,134,0,No Failure
113,M112,H,299.7728748704191,311.65363521602984,1471.242648715566,40.80025973539655,4,0,No Failure
114,M113,M,299.8882956346944,309.46524919540906,1065.781194111497,31.698416844114302,195,0,No Failure
115,M114,M,299.2452269650756,309.8115131402412,1503.8090320418846,35.23142298998666,46,0,No Failure
116,M115,M,302.6897080623614,309.58872007566947,1737.148702805997,37.10933934959138,35,0,No Failure
117,M116,M,298.53414792378294,309.3284893946989,1212.2725967528502,41.82096222330757,142,0,No Failure
118,M117,L,298.5195354949026,308.1585052906635,1525.4213929950174,48.48847281837563,38,0,No Failure
119,M118,M,304.2419871316902,309.98525228198315,1383.6458590009374,48.536630070653786,37,0,No Failure
120,M119,L,301.95569512930865,308.7144344062889,1827.9891897507835,42.37483991802165,35,0,No Failure
121,M120,M,295.22977260261393,309.96582811846565,1386.0416275733899,44.30253016605599,114,0,No Failure
122,M121,M,298.8694825215792,312.115770809563,1803.7986175497167,43.11866915845475,1,0,No Failure
123,M122,L,296.37602132487586,309.4906549036693,1380.5089858377546,36.85357824136454,14,0,No Failure
124,M123,L,298.0986186131695,310.19477400562806,1654.235161066826,49.00583002617879,83,0,No Failure
125,M124,L,293.7229706675319,310.90664838580926,1550.3891236725399,30.85518907516237,54,0,No Failure
126,M125,L,299.7260208446121,310.2802912919659,1472.3454666971397,19.518545316961546,225,0,No Failure
127,M126,M,297.7161163616774,310.2924841879423,1341.8942861892049,29.58510613245644,76,0,No Failure
128,M127,M,300.1198105135929,309.6375975663119,1564.6190842635785,54.03120815104287,187,0,No Failure
129,M128,L,296.74975748223494,309.76812202493875,1411.8929475030177,37.04566861502321,24,0,No Failure
130,M129,L,300.1658237063441,309.0399894778122,1362.0467550383723,42.741290061837674,13,0,RNF
131,M130,L,299.17016744375934,310.8460450088894,1794.544548275144,37.26049983429795,232,1,No Failure
132,M131,L,303.0039059303772,308.2585083433859,1609.5060454986456,45.61665328826358,239,0,No Failure
133,M132,L,302.82271372349123,310.9710883383822,1628.7277903814406,40.70712666006377,245,0,No Failure
134,M133,L,301.57069120602057,308.59630161525473,1421.6802962775475,39.314079907677474,136,1,No Failure
135,M134,H,299.3467724386776,310.9626072740767,1462.8043305833392,46.13778335050445,176,0,No Failure
136,M135,L,303.9707607905206,309.6461824737878,1450.2846665297777,35.343220613811766,117,0,No Failure
137,M136,L,296.89392944432035,308.7681313118669,1567.4477825001954,43.72077782697052,162,0,No Failure
138,M137,M,297.1928827408727,310.57929864507963,1628.360690368501,38.25278338922184,213,0,No Failure
139,M138,L,299.83243380022185,310.9287675350758,1493.9497259376856,38.92573746787108,4,1,No Failure
140,M139,H,304.50807621784224,309.56192135189644,1341.4710011638717,31.814025006767253,235,1,No Failure
141,M140,H,299.5953221862598,310.7206105486789,1652.1140914053099,37.84044350613728,100,0,No Failure
142,M141,L,299.63350951358143,307.7149155053306,1506.6807736416672,34.58757449752819,205,0,No Failure
143,M142,L,297.1161792877764,308.6794037102534,1211.8327242458038,51.29920178761094,144,0,No Failure
144,M143,L,301.8918591705408,311.29240893046875,1072.9410499840624,23.159283361412385,68,0,No Failure
145,M144,L,301.9063525086587,309.7763307258021,1559.5794350920946,48.892598914444626,204,0,No Failure
146,M145,L,301.5781504027998,308.13778667355115,1334.1052402244593,22.55742319311018,53,0,No Failure
147,M146,M,298.74155865430527,309.301133819558,1586.2124258792905,45.37215637609962,174,1,No Failure
148,M147,L,298.586586463254,309.0765995274749,1344.8763382272132,31.62269765787572,222,0,No Failure
149,M148,L,297.4137554991901,309.8340382685271,1526.6371544990016,45.663222641683404,176,0,No Failure
150,M149,L,300.1677450035219,309.6292490161924,1424.3196944075817,38.786409919838356,73,0,No Failure
151,M150,H,297.839185341443,310.17893172893815,1850.384162054661,25.676466441112094,239,0,No Failure
152,M151,L,297.64516698950143,309.93053394838745,1690.0631315637288,53.586185398438175,61,0,No Failure
153,M152,L,299.15261856617866,311.359739255037,1769.459380037566,47.766463098556436,150,0,No Failure
154,M153,L,299.0216876496316,310.4245485997197,1504.809553823813,45.031754569988564,92,0,No Failure
155,M154,H,298.9240429423561,310.4576716111936,1664.4721878229761,33.59630255612135,15,0,No Failure
156,M155,L,300.9328891936805,311.1651571238945,1518.3300155202282,48.11084613452466,208,0,No Failure
157,M156,M,300.15809560430057,309.61123124957044,1793.9182734867452,27.167483784017573,134,0,No Failure
158,M157,M,299.42368793897776,308.73812255664154,1485.4875869487453,17.723538774926695,42,0,No Failure
159,M158,L,300.36602585662297,311.20697032463227,1220.5021319278412,24.37674130807799,205,0,No Failure
160,M159,M,298.01694591779074,310.13584174810813,1100.2756949492123,30.780119636735854,171,0,No Failure
161,M160,L,300.21055724781934,310.1393512078989,1833.6622239129028,32.451631159094674,136,0,No Failure
162,M161,M,300.30120498568925,309.3666700784698,1595.7008948301718,35.651564311539104,70,0,No Failure
163,M162,M,296.99390628128504,309.38314466689644,1608.8513700083483,36.09566765380363,205,0,No Failure
164,M163,L,301.99138750874073,310.84672233877086,1797.9295684583162,33.501617177089685,79,1,No Failure
165,M164,L,298.23713258954604,310.9846557981376,1169.653011254809,18.836852278338235,187,0,No Failure
166,M165,M,300.1806195984129,310.78382340574666,1428.2797569536385,41.92123367610648,137,0,No Failure
167,M166,L,302.3288234810705,310.7929616054455,1452.7860340769932,37.35325246548665,126,0,No Failure
168,M167,L,301.8513535154277,310.5690295372598,1648.455046641403,33.03656415452617,123,0,No Failure
169,M168,L,300.06866677713765,310.13152273007813,1361.4719549798235,53.980212913726945,132,0,No Failure
170,M169,L,299.2750019942359,309.824620315679,1259.725251297042,37.57834635444635,50,0,No Failure
171,M170,M,301.8950238171511,311.2103238499416,1257.9302698005786,40.58531732456176,6,0,No Failure
172,M171,L,301.34938995561726,309.62627912950956,1729.883615254404,47.95850151783132,21,0,No Failure
173,M172,L,298.7632699599117,310.36997921388075,1351.4935812393765,25.10139157772506,23,0,No Failure
174,M173,L,298.4102127059966,309.19598700204574,1389.5965031356377,39.77389946332098,125,0,No Failure
175,M174,M,295.855289636608,309.3407009631496,1626.8996301455809,47.92547854016627,103,0,No Failure
176,M175,L,300.30806368336715,309.7638454321428,1360.2109183530201,39.08671097301088,41,0,No Failure
177,M176,M,299.8346045099632,309.19606162327284,1159.0103154488716,26.966574133144086,149,0,No Failure
178,M177,L,302.2723827492851,310.7978518254783,1183.6597652550201,35.17524555054726,246,0,No Failure
179,M178,H,300.71811018696076,308.651965748455,1488.6385206569084,41.889866457436476,162,0,No Failure
180,M179,L,302.66845838834536,310.09922962338106,1599.4656860730443,18.931221098508672,237,0,No Failure
181,M180,L,298.60527154416764,310.1325080968422,1459.5509512299159,26.47339004898756,115,0,No Failure
182,M181,L,302.27630066193524,308.1892004216803,1586.0885407618139,59.73536895935109,182,0,No Failure
183,M182,H,298.9421672417907,309.5589761794764,1177.4324947984728,44.845902276849124,245,0,No Failure
184,M183,M,301.55519212358456,310.25569953804813,1190.9392918063784,54.83470560716281,130,0,No Failure
185,M184,L,297.08248321493863,310.42872799329405,1950.7871832588482,48.66317701507882,110,0,No Failure
186,M185,M,300.4702705987324,309.79569279139986,1746.556854427336,43.9398364317413,105,0,No Failure
187,M186,M,296.0306241171082,310.6768882044807,1653.7943783797036,36.909207610564934,198,0,No Failure
188,M187,L,299.4657250281165,309.89068374276394,1368.0550658531122,43.81213874384817,18,0,No Failure
189,M188,L,300.88070798775584,310.01365291207503,1452.39876185391,54.49964190862356,169,0,No Failure
190,M189,L,298.9580628975378,310.2516538689866,1499.66453657328,48.25538923167429,173,0,No Failure
191,M190,L,297.8991247424881,310.92699962873417,1762.8692227433048,41.66810304846779,71,0,No Failure
192,M191,M,301.69223693859186,309.3242819975845,1580.5565532890184,38.27652930800356,124,0,No Failure
193,M192,H,299.79307442030614,309.5131781274817,1605.1827602575602,44.98323587470863,214,0,No Failure
194,M193,M,299.0208587059387,309.33110350827076,1466.4690129765,34.67957392709429,147,0,No Failure
195,M194,L,300.08379184230853,309.66780228385807,1658.533013368017,44.98474410414452,32,0,No Failure
196,M195,L,305.2733382838912,311.4262342580798,1560.4645494862546,33.02044509003951,133,0,No Failure
197,M196,M,302.3070056995631,310.57272531932983,1508.8045465491361,36.46079112514576,14,0,No Failure
198,M197,M,302.32514733637566,308.8689102548312,1351.3831655627457,29.722945337834997,68,0,No Failure
199,M198,M,300.8710926379847,309.3995530344113,1477.2856515796734,35.60236955905672,205,0,No Failure
200,M199,M,300.3329705451543,310.3727672242764,1284.093459244009,33.16272341513754,200,0,No Failure
201,M200,M,295.2078354233392,309.09349221906723,1491.972198802609,56.91915391109107,89,0,No Failure
202,M201,L,298.64203930707373,309.27465995918527,1517.78227159298,31.055042427722118,223,0,No Failure
203,M202,L,299.03885117359505,311.34495966617413,1019.0963230787372,43.848352956078905,30,0,No Failure
204,M203,M,296.2502158719049,309.3866243715268,1453.9320921798992,30.531176806464178,5,0,No Failure
205,M204,M,297.68516841956915,310.9546668160294,1264.8239590790815,40.46896036676116,128,0,No Failure
206,M205,L,296.0383270581547,311.25532318953094,1599.727865103339,42.89915401954389,146,0,No Failure
207,M206,L,299.92335232860523,309.266537908831,1627.4319487101989,21.488963260762993,14,0,No Failure
208,M207,M,301.63753194169766,309.1100374434429,1414.7320364669365,26.02298511677798,33,0,No Failure
209,M208,L,302.21354903724864,309.72386791351886,1609.8044174243832,30.453268087620167,191,0,No Failure
210,M209,L,300.8295689241585,308.9113722793264,1618.2133872670122,26.96763125951464,82,0,No Failure
211,M210,L,298.07320731760285,310.1210338785027,1454.0568321176463,40.84085201945517,176,0,No Failure
212,M211,M,296.1358696829601,309.7943480881466,1806.8573950607315,42.425802087548654,202,0,No Failure
213,M212,M,296.486262601197,310.3605800158863,1354.9850125986998,29.36928044632465,81,0,No Failure
214,M213,L,297.462034845491,311.3969434562328,1794.2731406506332,41.24198436932555,215,0,No Failure
215,M214,M,298.22228060392865,310.8174849807703,1454.9601141633589,35.75921386228618,173,0,No Failure
216,M215,L,299.6805030040168,310.48923977541233,1331.3347293548065,39.005239664311134,50,0,No Failure
217,M216,L,297.97167156374604,308.0339515870321,1429.6903048391237,33.715767103940834,200,0,No Failure
218,M217,M,300.6779517873365,310.4433759821024,1280.1221544541354,44.87656732462146,10,0,No Failure
219,M218,M,299.53545299440106,311.7226276607046,1656.9115734778406,56.34929256937677,234,0,No Failure
220,M219,M,300.02109142348206,306.98947748368647,1179.4462043849448,47.74334215618578,3,0,No Failure
221,M220,M,302.2805011053424,310.68938254297564,1777.9217107537652,53.933908486791175,81,0,No Failure
222,M221,L,297.6395365315993,309.8406414252435,1312.8265596507078,25.97175216893708,235,0,No Failure
223,M222,L,300.8374091565847,309.15020499697704,1667.330674369191,33.24290897726858,214,0,No Failure
224,M223,L,299.9720535430479,310.801128583912,1504.8451722120935,45.65235832798015,40,0,No Failure
225,M224,L,299.3330274380606,311.70970590060733,1554.1630566099193,55.08294174883442,228,0,HDF
226,M225,L,301.7705126417319,310.77523072883776,1381.9913257445273,46.50440426906574,191,0,No Failure
227,M226,H,301.758028309114,309.62880804873845,1570.5616000666264,29.737759146261364,0,0,RNF
228,M227,L,298.1070184080231,309.05653017559183,1526.9948577101727,35.653426651811195,216,0,No Failure
229,M228,M,299.63567883228416,310.1446276337895,1208.4177863661344,43.33404436588141,8,0,No Failure
230,M229,M,300.5624233651681,310.8731692923816,1307.4999994133484,38.353404783692525,166,0,RNF
231,M230,M,299.4539865039548,309.61294697376627,1391.8175777980387,32.012275422816295,64,0,No Failure
232,M231,L,301.1700426645756,309.7096170083492,1349.00069637471,37.0974555665557,115,0,No Failure
233,M232,L,300.56238403582057,312.8220002498384,1750.5621890767302,39.85563981240421,16,0,No Failure
234,M233,L,303.665122480712,311.07865194595973,1501.4028367694998,29.150786945224212,66,0,No Failure
235,M234,L,296.9394417281404,311.1501286783936,1344.2657304720237,49.84509072536735,86,0,No Failure
236,M235,M,299.7551280205052,308.5397140939412,1401.8460351993922,35.603851774409605,0,0,No Failure
237,M236,L,298.18299497697564,309.29281132070656,1399.1073832905868,39.274237736892054,151,0,No Failure
238,M237,L,301.2082149108781,310.07468163945424,1442.3901055989868,50.35052703723987,204,0,No Failure
239,M238,M,296.7656562199089,308.99886244211484,1284.9341190560801,38.75001333894045,121,0,No Failure
240,M239,L,300.69262542044976,311.6003972988893,1337.2137778805363,49.80358828441589,147,0,No Failure
241,M240,H,298.7399031373033,311.41031230659064,1653.321382232842,29.707991390832735,191,0,No Failure
242,M241,H,298.531676267758,309.46645466261594,1537.0686206733826,44.32955914616283,147,0,No Failure
243,M242,H,297.1070035929186,311.7839186066075,1469.53249069196,48.393223557139535,123,0,No Failure
244,M243,L,299.069848107598,309.99574790328006,1500.52456346302,31.70132001520951,203,0,No Failure
245,M244,L,302.1690010605819,312.58938971738905,1490.8878486849178,38.216304076335945,80,0,No Failure
246,M245,H,299.94962263294104,310.14468613052503,1458.1737790536713,38.4232441536942,84,0,No Failure
247,M246,L,301.25536083574895,310.5761927503284,1603.4209677414958,42.096392171497065,167,0,No Failure
248,M247,H,303.32928364393257,311.39990344116956,1588.6319971695852,44.74801617339769,215,0,No Failure
249,M248,H,300.52751116964515,311.2776333498078,1185.647405354557,30.887938013776893,157,0,No Failure
250,M249,M,298.88240085587535,310.5107320661359,1473.6875628181515,39.39945141698682,150,0,No Failure
251,M250,L,300.93450443036556,309.8588596805562,1198.836120131847,55.913181735745795,22,0,No Failure
252,M251,L,298.91140770737144,310.5141326999931,1627.1154406911412,50.53876791624804,119,0,No Failure
253,M252,M,298.99115463340564,309.1838158281239,1653.5333113700567,47.93843845243837,55,0,No Failure
254,M253,L,296.960214400762,310.1521337188641,1377.8442204716607,38.07220402065368,46,0,No Failure
255,M254,L,301.85251498216877,308.890692467502,1476.6482089330568,61.28830824727123,144,0,No Failure
256,M255,L,299.22799484870114,308.2191183599197,1077.711940575551,50.298141885062606,1,0,HDF
257,M256,H,300.36419649163173,310.05042676413944,1694.5579628184053,40.37418867929432,105,0,No Failure
258,M257,M,297.9280761427867,311.26227789067167,1641.9347480502804,42.20410715590701,215,1,No Failure
259,M258,L,300.87189525943097,310.9258046415961,1730.0170523475053,35.41150345260959,32,0,No Failure
260,M259,L,298.47611752372984,309.9180877042744,1797.3088280674199,43.933716911583055,248,0,No Failure
261,M260,M,299.71658255659634,311.74698969817547,1255.178141404645,45.93075033726914,248,0,No Failure
262,M261,H,301.75565206247825,309.43093860915343,1677.6088403276883,47.02608084547097,236,0,No Failure
263,M262,L,301.58151862446505,308.082167338202,1795.860888883692,38.19316107809552,107,0,No Failure
264,M263,L,299.9559398549661,307.81789870579905,1201.0844257941528,25.263006623723285,14,0,No Failure
265,M264,M,296.46373793458656,308.81880905940426,1465.7577576308572,42.41788346179825,31,0,No Failure
266,M265,M,305.9856211401213,310.81662474326225,1427.319603354115,47.067935059306066,105,0,No Failure
267,M266,M,303.49171794054627,309.3651973165326,1671.0923728382995,30.21446659644802,161,0,No Failure
268,M267,M,301.4453496497766,310.4609586418573,1021.211786731184,39.09167422004627,187,0,No Failure
269,M268,L,298.49359243681806,311.646283383584,1863.1915392464389,53.41465825240393,213,0,No Failure
270,M269,L,299.77281567659605,308.8999030374222,1477.4925871610812,27.965249419299553,30,0,No Failure
271,M270,M,298.91315914044696,310.47849973179586,1683.2188804034292,37.16265650211536,14,0,No Failure
272,M271,M,302.5277118781928,310.53896307265575,1487.9525524616818,54.8713914793835,147,0,No Failure
273,M272,M,300.52500578170367,309.1392620115269,1598.4250101959349,41.5771535411377,105,0,No Failure
274,M273,H,298.4316722832803,311.35421092524507,1035.71634827677,34.739881717597605,214,0,No Failure
275,M274,L,299.05848980175045,309.7122929444505,1423.023525439858,39.92968406889593,30,0,No Failure
276,M275,L,302.2423762851398,309.616247019087,1669.5522422687357,48.259171322782805,1,0,No Failure
277,M276,M,303.200195693641,312.111613218418,1557.746469342739,37.96494464816243,12,1,No Failure
278,M277,M,303.05666312697247,310.52276674236674,1172.6317814546485,45.975821149390754,233,0,No Failure
279,M278,M,301.51406413010795,310.9252905496855,1512.2849787753225,42.349901586757454,95,0,No Failure
280,M279,M,299.49475026239475,311.3548929315218,1336.251534827699,43.1707841034864,112,0,No Failure
281,M280,M,293.51697234934176,309.3495260005408,1318.9161497653124,46.61541511008133,143,0,No Failure
282,M281,L,300.59432004761646,311.24982109705365,1195.8611453366566,37.05171917026707,14,0,No Failure
283,M282,L,299.9963424823118,309.4981058850023,1623.740524381426,30.55489247127713,24,0,No Failure
284,M283,L,300.2799641926427,309.4553766106617,1722.602888787127,44.74395605447105,75,0,No Failure
285,M284,L,300.1077946940664,309.72800002769185,1924.028626832569,38.67595887223231,27,0,No Failure
